#  Table f435w.WFC1.fits[1]  Tue 12:41:59 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 2999.38 4.556967e-37
1 3075.14 2.712708e-11
2 3150.90 1.462009e-11
3 3226.67 1.904171e-09
4 3302.43 6.006287e-08
5 3378.19 1.799592e-07
6 3453.96 2.712907e-07
7 3529.72 1.196284e-04
8 3605.49 3.837694e-03
9 3681.25 3.246958e-02
10 3757.01 9.496840e-02
11 3832.78 1.509548e-01
12 3908.54 2.076691e-01
13 3984.31 2.576690e-01
14 4060.07 2.936969e-01
15 4135.83 3.043525e-01
16 4211.60 3.206749e-01
17 4287.36 3.351900e-01
18 4363.12 3.473472e-01
19 4438.89 3.515999e-01
20 4514.65 3.493089e-01
21 4590.42 3.739100e-01
22 4666.18 3.493183e-01
23 4741.94 3.472052e-01
24 4817.71 5.862878e-02
25 4893.47 8.966582e-04
26 4969.24 3.865845e-05
27 5045.00 1.183042e-05
28 5120.76 3.011094e-06
29 5196.53 5.217175e-06
30 5272.29 2.342962e-06
31 5348.06 3.495070e-06
32 5423.82 9.042410e-07
33 5499.58 2.166663e-06
34 5575.35 6.263487e-07
35 5651.11 1.475004e-06
36 5726.88 3.145437e-07
37 5802.64 1.227792e-07
38 5878.40 1.587404e-07
39 5954.17 1.958508e-07
40 6029.93 2.176720e-07
41 6105.69 2.146611e-07
42 6181.46 2.118001e-07
43 6257.22 2.080418e-07
44 6332.99 2.042485e-07
45 6408.75 2.001912e-07
46 6484.51 1.951744e-07
47 6560.28 1.975713e-07
48 6636.04 2.019167e-07
49 6711.81 2.060599e-07
50 6787.57 2.100850e-07
51 6863.33 2.134408e-07
52 6939.10 2.169445e-07
53 7014.86 2.356880e-07
54 7090.62 3.186001e-07
55 7166.39 3.995248e-07
56 7242.15 4.779579e-07
57 7317.92 5.531161e-07
58 7393.68 6.269852e-07
59 7469.44 6.956997e-07
60 7545.21 6.414131e-07
61 7620.97 5.440156e-07
62 7696.74 4.479521e-07
63 7772.50 3.547225e-07
64 7848.26 2.661682e-07
65 7924.03 1.804344e-07
66 7999.79 1.000938e-07
67 8075.56 1.112173e-07
68 8151.32 1.219739e-07
69 8227.08 1.316218e-07
70 8302.85 1.400657e-07
71 8378.61 1.477101e-07
72 8454.38 1.539212e-07
73 8530.14 1.503212e-07
74 8605.90 1.329322e-07
75 8681.67 1.166613e-07
76 8757.43 1.013075e-07
77 8833.19 8.703879e-08
78 8908.96 7.371479e-08
79 8984.72 6.143645e-08
80 9060.49 8.903657e-08
81 9136.25 1.220463e-07
82 9212.01 1.500817e-07
83 9287.78 1.740391e-07
84 9363.54 1.931755e-07
85 9439.31 2.046524e-07
86 9515.07 2.335781e-07
87 9590.83 3.396656e-07
88 9666.60 4.153785e-07
89 9742.36 4.616545e-07
90 9818.12 4.867520e-07
91 9893.89 5.091019e-07
92 9969.65 5.101711e-07
93 10045.42 4.928571e-07
94 10121.18 4.633324e-07
95 10196.94 4.215041e-07
96 10272.71 3.888404e-07
97 10348.47 3.490016e-07
98 10424.24 3.060710e-07
99 10500.00 0.000000e+00
