#  Table f775w.WFC1.fits[1]  Tue 12:41:59 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 4000.38 1.629713e-07
1 4065.73 2.071504e-07
2 4131.08 2.528165e-07
3 4196.43 2.993227e-07
4 4261.78 3.420064e-07
5 4327.13 3.838586e-07
6 4392.48 4.237831e-07
7 4457.83 4.619328e-07
8 4523.18 4.803886e-07
9 4588.53 4.645805e-07
10 4653.88 4.494307e-07
11 4719.23 4.348444e-07
12 4784.58 4.209475e-07
13 4849.93 4.081310e-07
14 4915.28 3.958055e-07
15 4980.63 3.845917e-07
16 5045.98 3.725467e-07
17 5111.33 3.604556e-07
18 5176.68 3.485926e-07
19 5242.03 3.365030e-07
20 5307.38 3.241686e-07
21 5372.73 3.114363e-07
22 5438.08 2.983231e-07
23 5503.43 2.849869e-07
24 5568.77 2.829343e-07
25 5634.12 2.807576e-07
26 5699.47 2.793351e-07
27 5764.82 2.776972e-07
28 5830.17 2.764627e-07
29 5895.52 2.750293e-07
30 5960.87 2.741311e-07
31 6026.22 4.347000e-07
32 6091.57 8.420916e-07
33 6156.92 1.257705e-06
34 6222.27 1.680359e-06
35 6287.62 2.107526e-06
36 6352.97 2.539244e-06
37 6418.32 2.979618e-06
38 6483.67 3.408186e-06
39 6549.02 6.890337e-04
40 6614.37 1.606272e-03
41 6679.72 2.523870e-03
42 6745.07 3.445287e-03
43 6810.42 5.631195e-03
44 6875.77 3.208822e-02
45 6941.12 1.110897e-01
46 7006.47 2.330725e-01
47 7071.82 3.300230e-01
48 7137.17 3.853485e-01
49 7202.52 4.159518e-01
50 7267.87 4.270703e-01
51 7333.22 4.281309e-01
52 7398.57 4.288262e-01
53 7463.92 4.168592e-01
54 7529.26 4.222052e-01
55 7594.61 4.135371e-01
56 7659.96 4.069791e-01
57 7725.31 3.856199e-01
58 7790.66 3.809188e-01
59 7856.01 3.801110e-01
60 7921.36 3.634907e-01
61 7986.71 3.484206e-01
62 8052.06 3.365166e-01
63 8117.41 3.372413e-01
64 8182.76 3.300102e-01
65 8248.11 3.148829e-01
66 8313.46 2.968740e-01
67 8378.81 2.831085e-01
68 8444.16 2.717686e-01
69 8509.51 2.161338e-01
70 8574.86 3.340416e-02
71 8640.21 2.789444e-03
72 8705.56 5.454554e-04
73 8770.91 8.351564e-05
74 8836.26 1.140730e-05
75 8901.61 4.228206e-06
76 8966.96 2.477333e-06
77 9032.31 2.485686e-06
78 9097.66 1.954247e-06
79 9163.01 8.061298e-07
80 9228.36 4.098636e-07
81 9293.71 3.186134e-07
82 9359.06 3.302918e-07
83 9424.41 3.891328e-07
84 9489.75 7.564942e-07
85 9555.10 5.634485e-07
86 9620.45 7.705692e-07
87 9685.80 8.204111e-07
88 9751.15 1.331443e-06
89 9816.50 3.343837e-07
90 9881.85 1.036413e-06
91 9947.20 2.806645e-07
92 10012.55 6.744296e-07
93 10077.90 5.143848e-07
94 10143.25 3.599590e-07
95 10208.60 4.198529e-07
96 10273.95 3.186321e-07
97 10339.30 3.761122e-07
98 10404.65 3.349497e-07
99 10470.00 0.000000e+00
