#  Table f275w.UVIS1.fits[1]  Tue 10:27:07 12-Oct-2010
# row      WAVELENGTH      THROUGHPUT
#           angstroms                
100
0 2281.82 1.008134e-03
1 2290.34 1.440889e-03
2 2298.86 2.122073e-03
3 2307.37 2.721492e-03
4 2315.89 3.020542e-03
5 2324.41 3.089615e-03
6 2332.93 3.170485e-03
7 2341.45 3.510362e-03
8 2349.96 4.215054e-03
9 2358.48 5.190433e-03
10 2367.00 6.154699e-03
11 2375.52 6.944229e-03
12 2384.03 7.586513e-03
13 2392.55 8.286407e-03
14 2401.07 9.344296e-03
15 2409.59 1.117482e-02
16 2418.11 1.402225e-02
17 2426.62 1.776584e-02
18 2435.14 2.203380e-02
19 2443.66 2.640121e-02
20 2452.18 3.059776e-02
21 2460.69 3.475006e-02
22 2469.21 3.985262e-02
23 2477.73 4.667133e-02
24 2486.25 5.528375e-02
25 2494.77 6.514574e-02
26 2503.28 7.518453e-02
27 2511.80 8.415359e-02
28 2520.32 9.118999e-02
29 2528.84 9.656208e-02
30 2537.35 1.015773e-01
31 2545.87 1.065927e-01
32 2554.39 1.114990e-01
33 2562.91 1.159140e-01
34 2571.43 1.193376e-01
35 2579.94 1.212814e-01
36 2588.46 1.219668e-01
37 2596.98 1.220091e-01
38 2605.50 1.212407e-01
39 2614.02 1.198037e-01
40 2622.53 1.178617e-01
41 2631.05 1.154723e-01
42 2639.57 1.125767e-01
43 2648.09 1.094662e-01
44 2656.60 1.065570e-01
45 2665.12 1.039710e-01
46 2673.64 1.017486e-01
47 2682.16 9.988969e-02
48 2690.68 9.829108e-02
49 2699.19 9.656059e-02
50 2707.71 9.534099e-02
51 2716.23 9.395897e-02
52 2724.75 9.238826e-02
53 2733.26 9.071245e-02
54 2741.78 8.907348e-02
55 2750.30 8.772343e-02
56 2758.82 8.654233e-02
57 2767.34 8.543682e-02
58 2775.85 8.419546e-02
59 2784.37 8.267222e-02
60 2792.89 8.083257e-02
61 2801.41 7.875671e-02
62 2809.92 7.673161e-02
63 2818.44 7.468130e-02
64 2826.96 7.288525e-02
65 2835.48 7.136013e-02
66 2844.00 7.022146e-02
67 2852.51 6.948688e-02
68 2861.03 6.899087e-02
69 2869.55 6.853143e-02
70 2878.07 6.798095e-02
71 2886.58 6.712519e-02
72 2895.10 6.599715e-02
73 2903.62 6.472546e-02
74 2912.14 6.338426e-02
75 2920.66 6.199216e-02
76 2929.17 6.075517e-02
77 2937.69 5.958838e-02
78 2946.21 5.850932e-02
79 2954.73 5.743822e-02
80 2963.24 5.625334e-02
81 2971.76 5.483764e-02
82 2980.28 5.317630e-02
83 2988.80 5.131097e-02
84 2997.32 4.938383e-02
85 3005.83 4.719958e-02
86 3014.35 4.483412e-02
87 3022.87 4.215528e-02
88 3031.39 3.874327e-02
89 3039.91 3.389563e-02
90 3048.42 2.781182e-02
91 3056.94 2.134235e-02
92 3065.46 1.538716e-02
93 3073.98 1.052752e-02
94 3082.49 6.964486e-03
95 3091.01 4.557589e-03
96 3099.53 3.080156e-03
97 3108.05 2.101888e-03
98 3116.57 1.450278e-03
99 3125.08 1.013853e-03
