# ED780-1		ED780-2
# 80mm Dia X 5mmT w/ wedge		
# Measured at Center of part		
# 298K,0 deg aoi		
## note that the temperature and aoi difference is negligible.
# peakT%	97.48438263	97.84909821
# Cut-on:	1493.19	1492.97
# Cut-off:	1778.53	1782.27
# wl(A)	T%	T%
17920.0  5.021287441  11.46876907
17915.0  5.480044842  12.43141937
17910.0  5.97520113  13.42600727
17905.0  6.495740891  14.50214958
17900.0  7.102432251  15.69362545
17895.0  7.748681068  16.95584106
17890.0  8.436432838  18.28809738
17885.0  9.239793777  19.82238388
17880.0  10.11356354  21.45005608
17875.0  11.00534534  23.10963249
17870.0  11.98971558  24.88225937
17865.0  13.11455631  26.87245369
17860.0  14.33423138  28.97318649
17855.0  15.66013145  31.23628235
17850.0  17.15651131  33.68299484
17845.0  18.75626373  36.22977829
17840.0  20.36494255  38.72602081
17835.0  22.18511581  41.48496246
17830.0  24.17628288  44.37108994
17825.0  26.32395554  47.40809631
17820.0  28.64435959  50.51833344
17815.0  31.1109581  53.68051529
17810.0  33.65346146  56.7883606
17805.0  36.34382629  59.9246521
17800.0  39.21455383  63.09975433
17795.0  42.33201599  66.34272766
17790.0  45.53024292  69.54373932
17785.0  48.87981415  72.62696838
17780.0  52.17450333  75.47795868
17775.0  55.53319931  78.18483734
17770.0  58.9533577  80.7624054
17765.0  62.39808273  83.19232178
17760.0  65.89001465  85.46464539
17755.0  69.38389587  87.50717926
17750.0  72.55609131  89.23812866
17745.0  75.58161926  90.74794769
17740.0  78.50526428  92.05301666
17735.0  81.24341583  93.14467621
17730.0  83.7670517  94.03677368
17725.0  86.09971619  94.76354218
17720.0  88.08971405  95.26998901
17715.0  89.74869537  95.56650543
17710.0  91.17134094  95.76171875
17705.0  92.34200287  95.80134583
17700.0  93.31891632  95.768013
17695.0  94.00865173  95.60713196
17690.0  94.48929596  95.39914703
17685.0  94.78141785  95.10884857
17680.0  94.85728455  94.81929016
17675.0  94.76972198  94.40218353
17670.0  94.5458374  94.04345703
17665.0  94.25180817  93.64984894
17660.0  93.78934479  93.2166214
17655.0  93.29042053  92.85331726
17650.0  92.77935028  92.48783112
17645.0  92.17712402  92.14833832
17640.0  91.55140686  91.78375244
17635.0  90.91726685  91.4943161
17630.0  90.30384064  91.26798248
17625.0  89.64439392  90.98957062
17620.0  89.09113312  90.82003784
17615.0  88.5250473  90.64815521
17610.0  87.93172455  90.49144745
17605.0  87.45333862  90.43365479
17600.0  87.00395203  90.36700439
17595.0  86.56772614  90.36872101
17590.0  86.15820313  90.36227417
17585.0  85.81303406  90.41899109
17580.0  85.55029297  90.51758575
17575.0  85.298172  90.62128448
17570.0  85.1049118  90.79032898
17565.0  84.95141602  90.94805145
17560.0  84.86129761  91.15283966
17555.0  84.7894516  91.36160278
17550.0  84.77459717  91.60108948
17545.0  84.82518005  91.84877777
17540.0  84.87722015  92.10113525
17535.0  84.99633026  92.38663483
17530.0  85.16957855  92.67363739
